t_unity_captura,norm_x,norm_y,norm_z,g,t_unity_envio,t_robot_recepcion,x_cm,y_cm,z_cm,t_rad,t_uart_escritura,clamp_activo,rtt_ms,perdida_pct,id_intento,id_operador,condicion_red,nivel_objeto
,0.3860,0.3130,0.5010,0.7810,,1787346927724.4219,22.5350,9.1200,8.7800,0.6971,1787346927724.4219,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3860,0.3120,0.5010,0.7770,,1787346927796.6453,22.5350,9.1200,8.7200,0.7007,1787346927796.6453,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3850,0.3120,0.5010,0.7760,,1787346927890.8062,22.5350,9.2000,8.7200,0.7016,1787346927890.8062,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3840,0.3120,0.5010,0.7760,,1787346927993.4316,22.5350,9.2800,8.7200,0.7016,1787346927993.4316,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3850,0.3110,0.5020,0.7740,,1787346928048.9888,22.5700,9.2000,8.6600,0.7034,1787346928048.9888,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3850,0.3100,0.5040,0.7720,,1787346928099.5676,22.6400,9.2000,8.6000,0.7052,1787346928099.5676,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3860,0.3090,0.5040,0.7700,,1787346928162.8884,22.6400,9.1200,8.5400,0.7070,1787346928162.8884,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3860,0.3090,0.5040,0.7680,,1787346928250.6165,22.6400,9.1200,8.5400,0.7088,1787346928250.6165,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3850,0.3090,0.5020,0.7680,,1787346928351.8440,22.5700,9.2000,8.5400,0.7088,1787346928354.1855,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3860,0.3090,0.5040,0.7640,,1787346928429.6133,22.6400,9.1200,8.5400,0.7124,1787346928429.6133,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3870,0.3080,0.5060,0.7600,,1787346928494.4495,22.7100,9.0400,8.4800,0.7160,1787346928494.4495,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3870,0.3070,0.5070,0.7590,,1787346928595.7915,22.7450,9.0400,8.4200,0.7169,1787346928595.7915,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3860,0.3070,0.5080,0.7580,,1787346928653.2373,22.7800,9.1200,8.4200,0.7178,1787346928654.3079,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3860,0.3070,0.5080,0.7570,,1787346928731.6575,22.7800,9.1200,8.4200,0.7187,1787346928731.6575,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3860,0.3070,0.5090,0.7570,,1787346928797.5325,22.8150,9.1200,8.4200,0.7187,1787346928797.5325,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3860,0.3070,0.5100,0.7570,,1787346928854.8872,22.8500,9.1200,8.4200,0.7187,1787346928855.9009,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3870,0.3070,0.5100,0.7580,,1787346928927.5764,22.8500,9.0400,8.4200,0.7178,1787346928927.5764,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3900,0.3070,0.5090,0.7570,,1787346928976.5288,22.8150,8.8000,8.4200,0.7187,1787346928976.5288,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3930,0.3070,0.5070,0.7550,,1787346929035.6809,22.7450,8.5600,8.4200,0.7205,1787346929035.6809,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3950,0.3080,0.5070,0.7530,,1787346929101.9839,22.7450,8.4000,8.4800,0.7223,1787346929101.9839,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.3980,0.3080,0.5070,0.7500,,1787346929155.5730,22.7450,8.1600,8.4800,0.7250,1787346929156.7888,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4010,0.3090,0.5050,0.7450,,1787346929202.6848,22.6750,7.9200,8.5400,0.7295,1787346929202.6848,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4040,0.3090,0.5040,0.7420,,1787346929269.1125,22.6400,7.6800,8.5400,0.7322,1787346929269.1125,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4090,0.3080,0.5040,0.7410,,1787346929359.6687,22.6400,7.2800,8.4800,0.7331,1787346929359.6687,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4180,0.3080,0.5000,0.7410,,1787346929430.0498,22.5000,6.5600,8.4800,0.7331,1787346929432.0593,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4260,0.3080,0.4960,0.7380,,1787346929507.0750,22.3600,5.9200,8.4800,0.7358,1787346929507.0750,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4360,0.3080,0.4890,0.7350,,1787346929605.7275,22.1150,5.1200,8.4800,0.7385,1787346929605.7275,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4410,0.3080,0.4840,0.7350,,1787346929659.2026,21.9400,4.7200,8.4800,0.7385,1787346929659.2026,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4420,0.3080,0.4810,0.7410,,1787346929740.1064,21.8350,4.6400,8.4800,0.7331,1787346929740.1064,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4430,0.3090,0.4780,0.7460,,1787346929813.0583,21.7300,4.5600,8.5400,0.7286,1787346929813.0583,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4440,0.3100,0.4750,0.7520,,1787346929908.3228,21.6250,4.4800,8.6000,0.7232,1787346929908.3228,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4450,0.3100,0.4740,0.7550,,1787346929964.2998,21.5900,4.4000,8.6000,0.7205,1787346929965.3621,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4500,0.3110,0.4710,0.7630,,1787346930039.7778,21.4850,4.0000,8.6600,0.7133,1787346930040.3005,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4550,0.3120,0.4670,0.7650,,1787346930109.7561,21.3450,3.6000,8.7200,0.7115,1787346930109.7561,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4620,0.3120,0.4660,0.7630,,1787346930165.7175,21.3100,3.0400,8.7200,0.7133,1787346930166.1001,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4700,0.3110,0.4640,0.7590,,1787346930244.5627,21.2400,2.4000,8.6600,0.7169,1787346930244.5627,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4770,0.3090,0.4610,0.7560,,1787346930316.6428,21.1350,1.8400,8.5400,0.7196,1787346930316.6428,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4830,0.3080,0.4580,0.7540,,1787346930637.2317,21.0300,1.3600,8.4800,0.7214,1787346930638.1208,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.4990,0.3070,0.4450,0.7270,,1787346930970.4534,20.5750,0.0800,8.4200,0.7457,1787346930971.4429,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.5030,0.3080,0.4430,0.7000,,1787346931004.2549,20.5050,-0.2400,8.4800,0.7700,1787346931004.2549,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.5040,0.3080,0.4420,0.6970,,1787346931070.5967,20.4700,-0.3200,8.4800,0.7727,1787346931071.4949,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.5040,0.3070,0.4420,0.6950,,1787346931121.3828,20.4700,-0.3200,8.4200,0.7745,1787346931121.3828,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.5040,0.3070,0.4420,0.6940,,1787346931170.2236,20.4700,-0.3200,8.4200,0.7754,1787346931171.2302,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.5070,0.3070,0.4400,0.6940,,1787346931247.5156,20.4000,-0.5600,8.4200,0.7754,1787346931247.5156,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.5110,0.3070,0.4380,0.6940,,1787346931317.6335,20.3300,-0.8800,8.4200,0.7754,1787346931317.6335,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.5180,0.3070,0.4340,0.6960,,1787346931385.5234,20.1900,-1.4400,8.4200,0.7736,1787346931385.5234,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.5300,0.3070,0.4260,0.7030,,1787346931452.9558,19.9100,-2.4000,8.4200,0.7673,1787346931452.9558,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.5400,0.3060,0.4200,0.7090,,1787346931526.0239,19.7000,-3.2000,8.3600,0.7619,1787346931526.0239,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.5530,0.3030,0.4130,0.7220,,1787346931620.2749,19.4550,-4.2400,8.1800,0.7502,1787346931620.2749,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.5640,0.3010,0.4050,0.7410,,1787346931655.1721,19.1750,-5.1200,8.0600,0.7331,1787346931655.1721,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.5720,0.2990,0.3970,0.7550,,1787346931755.6853,18.8950,-5.7600,7.9400,0.7205,1787346931755.6853,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.5850,0.2930,0.3950,0.7460,,1787346931777.6377,18.8250,-6.8000,7.5800,0.7286,1787346931777.6377,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.5930,0.2900,0.3910,0.7370,,1787346931855.7432,18.6850,-7.4400,7.4000,0.7367,1787346931855.7432,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.5960,0.2890,0.3890,0.7260,,1787346931923.2144,18.6150,-7.6800,7.3400,0.7466,1787346931923.2144,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6010,0.2870,0.3890,0.7140,,1787346931980.0483,18.6150,-8.0800,7.2200,0.7574,1787346931981.0452,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6020,0.2860,0.3900,0.7090,,1787346932080.6790,18.6500,-8.1600,7.1600,0.7619,1787346932080.6790,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6040,0.2850,0.3920,0.7170,,1787346932158.9075,18.7200,-8.3200,7.1000,0.7547,1787346932158.9075,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6040,0.2820,0.3930,0.7250,,1787346932200.4993,18.7550,-8.3200,6.9200,0.7475,1787346932200.4993,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6040,0.2820,0.3930,0.7300,,1787346932282.9714,18.7550,-8.3200,6.9200,0.7430,1787346932284.4849,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6050,0.2820,0.3920,0.7320,,1787346932327.4187,18.7200,-8.4000,6.9200,0.7412,1787346932327.4187,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6050,0.2810,0.3910,0.7340,,1787346932684.9856,18.6850,-8.4000,6.8600,0.7394,1787346932685.9851,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6050,0.2800,0.3920,0.7370,,1787346932727.5215,18.7200,-8.4000,6.8000,0.7367,1787346932727.5215,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6060,0.2800,0.3910,0.7350,,1787346932786.1270,18.6850,-8.4800,6.8000,0.7385,1787346932788.1216,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6080,0.2810,0.3910,0.7330,,1787346932863.6355,18.6850,-8.6400,6.8600,0.7403,1787346932863.6355,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6090,0.2820,0.3940,0.7310,,1787346932964.5278,18.7900,-8.7200,6.9200,0.7421,1787346932964.5278,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6120,0.2840,0.3990,0.7190,,1787346933031.6375,18.9650,-8.9600,7.0400,0.7529,1787346933031.6375,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6170,0.2870,0.4000,0.7120,,1787346933088.7515,19.0000,-9.3600,7.2200,0.7592,1787346933089.7495,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6260,0.2900,0.4010,0.7070,,1787346933139.1716,19.0350,-10.0800,7.4000,0.7637,1787346933139.1716,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6400,0.2920,0.4090,0.7060,,1787346933229.7217,19.3150,-11.2000,7.5200,0.7646,1787346933231.7295,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6490,0.2950,0.4160,0.7050,,1787346933281.3728,19.5600,-11.9200,7.7000,0.7655,1787346933281.3728,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6550,0.2980,0.4250,0.7080,,1787346933336.5942,19.8750,-12.4000,7.8800,0.7628,1787346933338.8550,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6590,0.2990,0.4320,0.7100,,1787346933414.1570,20.1200,-12.7200,7.9400,0.7610,1787346933414.6677,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6590,0.2990,0.4400,0.7130,,1787346933477.8850,20.4000,-12.7200,7.9400,0.7583,1787346933479.8193,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6570,0.3000,0.4440,0.7160,,1787346933541.4680,20.5400,-12.5600,8.0000,0.7556,1787346933541.4680,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6550,0.2970,0.4470,0.7190,,1787346933612.2114,20.6450,-12.4000,7.8200,0.7529,1787346933613.6985,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6530,0.2930,0.4480,0.7220,,1787346933664.3579,20.6800,-12.2400,7.5800,0.7502,1787346933664.3579,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6500,0.2900,0.4480,0.7240,,1787346933758.7578,20.6800,-12.0000,7.4000,0.7484,1787346933761.1072,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6460,0.2910,0.4480,0.7240,,1787346933839.9143,20.6800,-11.6800,7.4600,0.7484,1787346933839.9143,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6430,0.2910,0.4470,0.7250,,1787346933910.6147,20.6450,-11.4400,7.4600,0.7475,1787346933910.6147,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6410,0.2900,0.4470,0.7240,,1787346933969.0967,20.6450,-11.2800,7.4000,0.7484,1787346933969.0967,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6390,0.2880,0.4470,0.7230,,1787346934067.7246,20.6450,-11.1200,7.2800,0.7493,1787346934069.7334,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6380,0.2850,0.4500,0.7230,,1787346934103.9609,20.7500,-11.0400,7.1000,0.7493,1787346934105.9766,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6370,0.2840,0.4510,0.7230,,1787346934174.3005,20.7850,-10.9600,7.0400,0.7493,1787346934174.3005,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6360,0.2840,0.4520,0.7230,,1787346934263.2302,20.8200,-10.8800,7.0400,0.7493,1787346934263.5710,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6350,0.2840,0.4540,0.7240,,1787346934327.6316,20.8900,-10.8000,7.0400,0.7484,1787346934329.1401,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6320,0.2840,0.4530,0.7230,,1787346934421.3315,20.8550,-10.5600,7.0400,0.7493,1787346934421.3315,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6320,0.2830,0.4530,0.7250,,1787346934504.0642,20.8550,-10.5600,6.9800,0.7475,1787346934504.0642,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6320,0.2820,0.4530,0.7260,,1787346934568.1848,20.8550,-10.5600,6.9200,0.7466,1787346934568.8557,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6330,0.2820,0.4530,0.7270,,1787346934618.5933,20.8550,-10.6400,6.9200,0.7457,1787346934620.5859,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6340,0.2820,0.4540,0.7280,,1787346934645.8647,20.8900,-10.7200,6.9200,0.7448,1787346934645.8647,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6350,0.2800,0.4550,0.7310,,1787346934716.7688,20.9250,-10.8000,6.8000,0.7421,1787346934716.7688,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6360,0.2790,0.4570,0.7310,,1787346934802.4824,20.9950,-10.8800,6.7400,0.7421,1787346934804.4890,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6380,0.2760,0.4620,0.7300,,1787346934869.8157,21.1700,-11.0400,6.5600,0.7430,1787346934878.1489,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6390,0.2750,0.4670,0.7310,,1787346934927.2529,21.3450,-11.1200,6.5000,0.7421,1787346934927.2529,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6420,0.2740,0.4720,0.7320,,1787346935012.2954,21.5200,-11.3600,6.4400,0.7412,1787346935012.2954,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6460,0.2740,0.4800,0.7320,,1787346935069.4114,21.8000,-11.6800,6.4400,0.7412,1787346935069.4114,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6500,0.2760,0.4870,0.7310,,1787346935145.1638,22.0450,-12.0000,6.5600,0.7421,1787346935145.1638,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6590,0.2840,0.4960,0.7310,,1787346935215.3416,22.3600,-12.7200,7.0400,0.7421,1787346935216.0583,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6710,0.2940,0.5050,0.7320,,1787346935243.0857,22.6750,-13.6800,7.6400,0.7412,1787346935243.0857,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6800,0.3020,0.5110,0.7350,,1787346935311.9548,22.8850,-14.4000,8.1200,0.7385,1787346935311.9548,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6870,0.3080,0.5140,0.7380,,1787346935347.0222,22.9900,-14.9600,8.4800,0.7358,1787346935347.0222,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6890,0.3060,0.5120,0.7410,,1787346935453.2859,22.9200,-15.1200,8.3600,0.7331,1787346935453.2859,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6890,0.3020,0.5100,0.7430,,1787346935510.7117,22.8500,-15.1200,8.1200,0.7313,1787346935512.7256,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6880,0.2990,0.5080,0.7450,,1787346935574.6729,22.7800,-15.0400,7.9400,0.7295,1787346935575.6123,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6860,0.2970,0.5040,0.7460,,1787346935654.0952,22.6400,-14.8800,7.8200,0.7286,1787346935654.0952,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6840,0.2970,0.5010,0.7470,,1787346935723.0261,22.5350,-14.7200,7.8200,0.7277,1787346935723.0261,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6820,0.2980,0.5000,0.7490,,1787346935823.3223,22.5000,-14.5600,7.8800,0.7259,1787346935823.3223,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6810,0.2980,0.5000,0.7490,,1787346935877.5374,22.5000,-14.4800,7.8800,0.7259,1787346935877.5374,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6780,0.2980,0.5010,0.7490,,1787346935956.6587,22.5350,-14.2400,7.8800,0.7259,1787346935958.4233,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6750,0.2980,0.5010,0.7520,,1787346936010.5820,22.5350,-14.0000,7.8800,0.7232,1787346936010.9272,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6740,0.2970,0.5020,0.7530,,1787346936094.9724,22.5700,-13.9200,7.8200,0.7223,1787346936094.9724,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6720,0.2950,0.5030,0.7530,,1787346936155.4155,22.6050,-13.7600,7.7000,0.7223,1787346936155.4155,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6720,0.2950,0.5030,0.7530,,1787346936192.0232,22.6050,-13.7600,7.7000,0.7223,1787346936192.0232,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6720,0.2930,0.5040,0.7550,,1787346936259.7144,22.6400,-13.7600,7.5800,0.7205,1787346936259.7144,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6720,0.2920,0.5030,0.7550,,1787346936327.3843,22.6050,-13.7600,7.5200,0.7205,1787346936327.3843,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6710,0.2900,0.5040,0.7540,,1787346936427.7170,22.6400,-13.6800,7.4000,0.7214,1787346936427.7170,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6700,0.2870,0.5070,0.7540,,1787346936494.6926,22.7450,-13.6000,7.2200,0.7214,1787346936494.6926,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6690,0.2850,0.5070,0.7550,,1787346936591.7686,22.7450,-13.5200,7.1000,0.7205,1787346936591.7686,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6660,0.2850,0.5070,0.7550,,1787346936652.2700,22.7450,-13.2800,7.1000,0.7205,1787346936654.3086,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6640,0.2850,0.5070,0.7540,,1787346936700.2610,22.7450,-13.1200,7.1000,0.7214,1787346936700.2610,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6620,0.2850,0.5080,0.7530,,1787346936761.1292,22.7800,-12.9600,7.1000,0.7223,1787346936761.1292,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6600,0.2840,0.5090,0.7510,,1787346936851.7966,22.8150,-12.8000,7.0400,0.7241,1787346936851.7966,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6540,0.2800,0.5110,0.7520,,1787346936929.7422,22.8850,-12.3200,6.8000,0.7232,1787346936929.7422,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6520,0.2770,0.5110,0.7520,,1787346936995.7209,22.8850,-12.1600,6.6200,0.7232,1787346936995.7209,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6510,0.2750,0.5120,0.7510,,1787346937099.3623,22.9200,-12.0800,6.5000,0.7241,1787346937099.3623,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6510,0.2740,0.5120,0.7500,,1787346937155.8040,22.9200,-12.0800,6.4400,0.7250,1787346937155.8040,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6510,0.2730,0.5120,0.7470,,1787346937252.7639,22.9200,-12.0800,6.3800,0.7277,1787346937254.9985,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6510,0.2720,0.5120,0.7440,,1787346937333.5681,22.9200,-12.0800,6.3200,0.7304,1787346937333.5681,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6500,0.2710,0.5140,0.7440,,1787346937396.3887,22.9900,-12.0000,6.2600,0.7304,1787346937396.3887,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6500,0.2700,0.5140,0.7470,,1787346937457.4685,22.9900,-12.0000,6.2000,0.7277,1787346937457.4685,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6490,0.2680,0.5160,0.7510,,1787346937540.3120,23.0600,-11.9200,6.0800,0.7241,1787346937540.3120,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6490,0.2660,0.5170,0.7510,,1787346937579.5525,23.0950,-11.9200,5.9600,0.7241,1787346937579.5525,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6510,0.2640,0.5170,0.7520,,1787346937642.4409,23.0950,-12.0800,5.8400,0.7232,1787346937642.4409,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6530,0.2620,0.5170,0.7520,,1787346937740.8789,23.0950,-12.2400,5.7200,0.7232,1787346937740.8789,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6630,0.2570,0.5170,0.7440,,1787346937850.0659,23.0950,-13.0400,5.4200,0.7304,1787346937852.0029,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
,0.6680,0.2560,0.5170,0.7410,,1787346937898.9766,23.0950,-13.4400,5.3600,0.7331,1787346937900.1013,False,,,1,OP1,C2_ETHERNET_CLUMSY_CARGA_MEDIA,medio
